,Year,Institution_ID,Source_ID,Variant_Label,Experiment_ID,Annual_Mean_Temp
93,1993,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.51924150290949
94,1994,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.654783529605472
95,1995,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.72908600280361
96,1996,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.590256917260085
97,1997,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.70549665697989
98,1998,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.829680704815695
99,1999,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.805139391426074
100,2000,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,13.910057461010917
101,2001,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.020180829832947
102,2002,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.250404752696106
103,2003,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.44515261113161
104,2004,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.166082512626938
105,2005,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.173869108221671
106,2006,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.233842374777856
107,2007,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.22560418459137
108,2008,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.21074909282761
109,2009,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.316620142379444
110,2010,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.266256644237489
111,2011,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.417890516000137
112,2012,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.470550340706543
113,2013,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.59530950993886
114,2014,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.52651943360785
115,2015,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.635146409441157
116,2016,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.618929115112879
117,2017,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.556466635423313
118,2018,MOHC,HadGEM3-GC3.05,r001i1p00605,rcp85,14.720755187913594
